,Achnanthidium affine,Achnanthidium minutissimum,Amphora copulata,Aulacoseira alpigena,Aulacoseira distans septentrionalis,Aulacoseira granulata,"Aulacoseira sp 1 tiny, fine striae",Aulacoseira sp 2,Brachysira brebissonii,Brachysira microcephala,Brachysira neoexilis,Brachysira cf. styriaca,Caloneis sp. 1 Luspa (alpestris?),Cavinula pseudoscutiformis,Cavinula lapidosa,Cocconeis neothumensis?,Cocconeis placentula,Craticula molesta,Cyclotella meneghiniana,Cyclostephanos dubius,Cymbella neocistula,Cymbella sp 1,Cymbopleura inca,Denticula ?? Atucyacu,Diatoma tenuis,Diploneis sp. 1,Diploneis sp. 2 (smaller one),Discostella stelligera,Encyonema neogracile,Encyonema jemtlandicum,Encyonema minutum,Encyonema sp 1,Encyonema cf tempereri,Encyonopsis angustecapitatum,Encyonopsis subminuta,Encyonopsis krammeroides,Encyonopsis Atucyacu 1,Encyonopsis cf recta,Eolimna minima,Eucocconeis flexella,Eunotia andinofrequens,Eunotia cf arcus,Eunotia flexuosa,Eunotia cf incisa,"Eunotia sp 1 Luspa (skinny, fine striae)",Epithemia alpestris,Epithemia turgida,Fragilaria capucina,Fragiliaria gracilis,Fragilaria tenera,Frustulia crassinervia,Frustulia rhomboides,Gomphonema cf. auritum,Gomphonema cf. gracile,Gomphonema cf. netriviale,Gomphonema parvulum,Gomphonema truncatum,Gomphonema variostriatum,Hannaea arcus,Kobayasiella pseudosubtilissima,Luticola sp,Melosira varians,Navicula angusta,Navicula cryptocephala,Navicula notha,Navicula radiosa,Navicula radiosa var. parva,Navicula viridulacalcis,Neidium bisulcatum,Nitzschia amphibia,Nitzschia Atucyacu 1,Nitzschia neotropica?,Nitzschia cf oberheimiana,Nitzschia recta,Nitzschia semirobusta,Nitzschia skinnt long round ends,Nitzschia skinny pointy ends,Nupela sp 1. ,Odontidium mesodon,Planothidoum cf. rostratum,Planothidium sp 1 ,Pinnularia borealis,Pinnularia cf. brebissonii,Pinnularia gibba,Pinnularia cf. gigaformis Luspa,Pinnularia microstauron,Pinnularia subgibba,Pinnularia cf. viridis,Pinnularia huge,Psammothidium,Pseudostaurosira brevistriata,Pseudostaurosira heidenii,Pseudostaurosira laucensis,Pseudostaurosira santaremensis,Rhoicosphenia abbreviata,Rhopalodia gibba,Rossithidium pusillum,Sellaphora cf. digna,Sellaphora fusticulus (large),Sellaphora laevissima,Sellaphora pupula,Stauroneis gracilior,Stauroneis subgracilis,Staurosira sp 1,Staurosirella leptostauron,Staurosirella pinnata,Staurosirella sp 1,Staurosirella sp 2,Staurosirella sp 3,Stenopterobia delicatissima,Stenopterobia densestriata,Stephanodiscus sp. Larga,Surirella,Tabellaria fenestrata,Tabellaria flocculosa,Tetracyclus sp. 1 SUN,Ulnaria delicatissima,
CJ-001-F,17,103,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,5,0,0,0,16,0,0,123,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,1,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,23,
CJ-003-F,0,17,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,353,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7,3,1,0,0,0,0,0,2,12,0,0,
CJ-020-F,2,74,0,35,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20,83,0,0,0,0,0,1,0,0,0,1,0,32,3,0,0,0,0,0,0,0,1,0,0,
CJ-023-F,4,6,2,13,4,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,161,0,0,0,0,0,0,0,0,3,1,0,1,0,0,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,4,6,2,0,0,0,0,3,47,0,3,
CJ-032-F,4,8,0,49,77,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,108,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,19,0,0,0,0,0,1,0,0,0,0,0,38,13,0,0,0,0,0,0,0,0,0,1,
CJ-039-F,0,12,0,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,8,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,12,0,0,
CJ-043-F,0,29,0,0,0,0,6,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,99,0,4,0,3,0,0,2,3,0,0,0,0,1,0,0,1,0,0,5,0,0,74,2,0,0,0,1,0,0,1,0,0,0,0,0,0,11,16,0,1,0,2,0,0,4,0,0,2,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,6,0,4,0,0,0,1,1,0,0,5,0,0,0,1,0,0,0,0,0,0,5,0,6,
CJ-051-F,0,9,1,22,49,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,305,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,16,2,0,2,0,0,1,0,1,0,0,0,0,2,4,0,1,0,0,0,0,0,10,1,2,
CJ-097-F,4,27,0,46,0,0,0,0,4,13,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,4,6,0,0,0,0,1,0,4,2,0,0,0,0,0,0,1,0,0,0,2,0,1,16,0,1,0,0,0,0,1,0,0,0,0,1,0,31,28,0,0,1,0,57,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,16,11,0,0,
CJ-121-F,16,65,2,8,0,0,4,0,0,5,0,0,1,0,1,3,3,1,2,0,0,1,0,1,2,1,0,26,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,1,1,4,0,4,0,1,0,0,1,1,0,3,0,0,0,0,0,1,13,13,0,0,1,0,0,0,5,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,1,1,4,0,26,0,0,0,0,0,1,0,0,0,0,0,1,7,0,23,1,0,0,0,0,3,39,0,11,
CJ-001-J,10,110,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,2,0,0,0,13,0,0,194,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,16,0,25,
CJ-003-J,1,22,0,2,6,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,301,0,1,0,0,0,1,1,1,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,12,0,0,0,0,0,2,1,0,0,1,0,0,11,4,1,0,0,0,0,1,15,0,1,
CJ-020-J,6,244,0,22,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,0,15,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,60,46,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,
CJ-023-J,3,13,0,233,4,0,0,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,0,1,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,1,14,0,1,
CJ-032-J,0,17,0,54,69,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,16,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,6,87,24,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,
CJ-039-J,2,16,0,12,17,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,8,8,1,0,1,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,
CJ-043-J,0,29,0,10,0,0,0,0,4,11,0,0,7,0,0,0,0,0,0,1,0,0,0,1,6,0,0,108,1,4,0,2,1,2,1,3,0,0,0,4,0,0,0,0,0,0,0,0,3,30,0,1,0,0,5,0,0,1,1,0,0,0,0,1,10,17,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,1,0,0,0,22,0,11,
CJ-051-J,2,22,0,23,5,0,0,0,0,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,21,3,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,3,
CJ-097-J,3,27,0,65,0,0,0,0,4,6,3,0,0,4,0,0,0,0,0,0,0,1,5,0,0,0,0,3,6,2,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,3,0,0,0,0,38,23,6,0,2,0,43,2,24,0,0,1,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,22,10,0,0,
CJ-121-J,10,95,0,4,0,0,1,0,0,4,0,0,0,1,1,2,1,0,1,0,0,0,0,1,4,0,0,9,0,0,1,1,0,1,3,7,0,0,0,0,2,0,0,0,0,0,0,10,2,0,0,1,3,0,1,0,0,2,2,0,0,0,0,1,12,6,2,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,32,0,0,0,2,0,0,0,0,0,0,0,0,11,0,20,0,0,1,0,0,6,44,0,9,
CJ-001-A,15,111,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,1,0,2,0,0,0,29,0,0,176,0,4,0,4,0,0,2,3,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,0,0,0,0,0,1,7,0,28,
CJ-003-S,4,31,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,382,0,0,1,3,0,2,6,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,7,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,15,0,0,0,0,0,0,0,0,0,3,0,21,10,9,1,0,0,0,0,1,6,0,2,
CJ-020-S,1,58,0,28,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,9,3,0,1,0,0,22,0,41,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,64,112,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,
CJ-023-S,7,42,1,32,0,0,1,0,3,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,2,3,0,1,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,5,0,0,1,0,36,13,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,59,2,10,4,0,0,0,0,4,29,0,3,
CJ-032-S,0,16,0,33,82,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,84,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,38,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,6,133,75,0,0,0,0,0,0,0,0,0,0,0,29,0,5,0,0,0,0,0,0,0,0,1,
CJ-039-S,2,27,0,151,21,5,0,5,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,1,0,2,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,1,0,2,0,10,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,3,0,1,7,0,0,
CJ-043-S,0,46,0,6,3,0,0,0,4,9,0,1,5,2,0,0,0,0,0,0,0,1,0,0,4,0,0,85,0,0,0,4,0,0,2,5,0,0,0,13,0,0,0,0,0,5,0,2,0,18,0,0,0,0,2,0,0,0,5,0,0,4,0,1,11,12,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,25,5,4,0,0,0,1,0,0,0,0,0,12,2,0,0,0,1,0,0,0,15,0,8,
CJ-051-S,8,23,0,56,3,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,142,2,2,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,1,7,0,0,1,4,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,22,2,9,1,0,0,0,0,0,11,0,1,
CJ-097-S,3,45,0,38,0,0,0,0,2,7,5,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,1,1,9,2,0,0,1,0,0,0,0,0,0,0,0,0,4,14,0,0,0,4,0,0,2,0,9,0,0,1,0,42,13,5,2,0,0,50,2,22,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,22,8,0,0,
CJ-121-S,9,64,0,2,0,0,2,1,0,3,0,0,0,3,0,0,2,0,0,0,1,0,1,0,1,0,1,12,0,0,3,0,0,1,1,7,0,0,0,0,1,0,0,0,0,2,0,2,0,6,0,2,0,0,1,0,0,2,1,3,0,1,0,1,16,12,3,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,6,0,0,85,4,0,0,2,0,0,1,2,0,0,0,0,16,8,13,1,0,0,0,0,5,41,0,11,
CJ-001-D,5,79,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,219,0,3,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,13,
CJ-003-D,2,10,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,6,3,0,0,
CJ-023-D,2,20,0,138,2,0,0,2,3,7,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,65,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11,9,0,0,0,0,3,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,1,5,0,5,0,0,1,0,0,0,0,0,6,3,6,1,0,0,0,0,4,32,0,1,
CJ-097-D,3,18,0,68,0,0,0,0,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16,6,1,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,1,0,0,1,7,0,0,0,5,0,0,1,0,3,0,0,0,0,25,16,0,0,1,0,41,6,26,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,13,10,0,0,
CJ-020-D,21,210,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5,0,0,0,0,8,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,18,10,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,2,0,0,
CJ-051-D,2,24,0,27,3,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,171,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,4,2,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,3,2,0,0,4,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,10,0,1,
CJ-043-D,2,24,0,0,0,1,0,0,0,4,1,0,3,0,0,0,0,0,0,0,1,0,0,0,16,0,0,105,0,2,0,0,0,0,0,4,0,0,0,5,1,0,0,0,1,3,2,0,0,110,0,0,0,0,1,0,0,1,7,0,0,0,0,1,5,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,4,0,2,
CJ-032-D,1,63,0,44,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,2,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,
CJ-039-D,0,43,0,126,11,0,4,1,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,1,4,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,13,9,1,0,0,0,6,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,11,0,0,0,0,0,0,0,4,21,0,1,
CJ-121-D,7,76,0,3,0,0,0,1,0,10,0,0,1,2,0,1,0,0,1,0,3,0,1,1,5,0,0,53,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,1,0,2,0,0,3,1,0,0,0,0,0,4,11,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,54,6,0,0,0,0,0,1,1,0,0,1,0,23,4,24,2,0,0,0,0,0,14,0,6,
