,fDOM
CJ-001-D,7.44
CJ-003-D,12.58
CJ-020-D,0.01
CJ-023-D,7.30
CJ-024-D,0.01
CJ-039-D,5.25
CJ-043-D,1.45
CJ-051-D,3.21
CJ-097-D,6.96
CJ-121-D,11.82
CJ-001-F,13.68
CJ-003-F,10.83
CJ-020-F,0.01
CJ-023-F,9.50
CJ-024-F,0.01
CJ-039-F,4.87
CJ-043-F,2.06
CJ-051-F,4.27
CJ-097-F,8.78
CJ-121-F,7.35
CJ-001-J,10.71
CJ-003-J,13.10
CJ-020-J,0.01
CJ-023-J,10.73
CJ-024-J,0.01
CJ-039-J,8.30
CJ-043-J,3.96
CJ-051-J,4.68
CJ-097-J,9.86
CJ-121-J,8.48
CJ-001-S,8.20
CJ-003-S,9.91
CJ-020-S,0.01
CJ-023-S,9.92
CJ-024-S,0.01
CJ-039-S,6.32
CJ-043-S,3.94
CJ-051-S,5.63
CJ-097-S,10.13
CJ-121-S,9.06