division;class;order;family;genera;CJ001-0;CJ001-5,2;CJ001-9,1;CJ003-0;CJ003-5,5;CJ003-9;CJ020-0;CJ020-7,5;CJ020-13,6;CJ023-0;CJ023-4;CJ023-10,5;CJ024-0;CJ024-11;CJ024-32;CJ039-0;CJ039-11,7;CJ039-16,4;CJ043-0;CJ043-13,5;CJ043-19,75;CJ051-0;CJ051-6,7;CJ051-16,3;CJ097-0;CJ097-10;CJ097-15;CJ121-0;CJ121-3,7;CJ121-6,5
Bacillariophyta;Bacillariophyceae;Cocconeidales;Achnanthidiaceae;Achnanthidium ;7785386;4055693;4206639;1050321;274834;866769;779262;1847895;532099;665124;480330;550968;352408;225875;127774;194216;984676;606925;485540;375114;647387;437634;183223;151731;0;233405;173407;772295;484763;913958
Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;250536;0;785465;0;274172;305181;0;523894;0;0;0;103057;0;0;0;0;0;0;1453110;2245262;0;218289;0;0;1076378;0;0;0;0;0
Cyanophyta;Cyanophyceae;Nostocales;Nostocaceae;Anabaena;0;771389;0;4794481;0;252137;0;0;0;1315662;158354;170290;2129992;0;631864;2881299;4057829;5002255;0;7420031;0;0;453034;0;6225029;0;0;5728700;4794481;0
Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae;Ankistrodesmus;0;0;0;257557;0;0;0;0;0;0;0;0;0;0;0;0;104633;0;0;0;0;0;155755;0;611485;0;0;0;0;0
Chlorophyta;Chlorophyceae;Sphaeropleales;Characiaceae;Ankyra ;0;28322;0;0;49900;0;228556;858157;253603;36229;0;0;255940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42067;0;0
Cyanophyta;Cyanophyceae;Synechococcales;Merismopediaceae;Aphanocapsa;876281;108910;1030223;0;159906;1072163;83704;0;0;0;0;0;382742;0;0;0;0;0;1356000;0;0;0;1087358;0;0;81481;453789;0;0;0
Cyanophyta;Cyanophyceae;Chroococcales;Aphanothecaceae;Aphanothece;0;76380;0;1186827;1009298;599175;0;257146;0;0;47039;50584;0;82950;187694;0;0;0;0;551027;475491;214288;403719;0;0;1885736;382091;0;0;503461
Bacillariophyta;Bacillariophyceae;Tabellariales;Tabellariaceae;Asterionella ;0;39456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillariophyta;Coscinodiscophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;1223894;0;1117535;458696;312066;0;97374;3981096;216091;226569;0;167815;0;256475;0;0;124385;0;0;0;0;1066365;0;0;6718823;0;2253518;0;0;0
Chlorophyta;Trebouxiophyceae;Trebouxiales;Botryococcaceae;Botryococcus;2816241;0;2127467;291075;825118;367377;215957;6310882;0;1358404;807556;869259;894068;815130;920658;3498500;2364986;5101980;874625;2702842;0;1052877;880868;273320;23323336;1681768;1561831;0;291075;0
Bacillariophyta;Bacillariophyceae;Naviculales;Brachysiraceae;Brachysira ;1295727;731635;575477;1705271;322265;789171;337384;738951;93589;57707;0;193816;165291;0;179790;0;142386;1138669;341601;527822;0;102632;545684;213501;506075;164211;122000;0;0;401883
Chlorophyta;Chlorophyceae;Sphaeropleales;Characiaceae;Characium ;126245;0;0;60921;0;38445;677985;923969;100305;0;0;0;147626;212896;289036;0;0;0;0;0;0;0;0;0;0;87997;0;0;0;0
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;59516;0;18659;91904;19539;21749;8523;0;0;0;0;9793;0;0;0;0;0;0;0;0;138077;0;0;0;76710;16594;0;32944;34464;24367
Cyanophyta;Cyanophyceae;Chroococcales;Chroococcaceae;Chroococcus ;854480;530732;0;1099568;155849;86738;0;0;0;0;0;0;199838;192129;552831;1077027;430869;344166;412999;638142;0;0;735057;0;305925;0;0;0;137446;97176
Cryptophyta;Cryptophyceae;Pyrenomonadales;Chroomonadaceae;Chroomonas;0;0;0;0;0;0;0;0;0;0;0;0;15337;0;0;228219;0;0;0;734649;0;0;0;0;0;0;0;0;0;0
Ochrophyta;Chrysophyceae;Chromulinales ;Chrysamoebaceae;Chrysostephanosphaera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1053698;0;0;0;0;0;0
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Closteriopsis;0;0;102452;0;0;0;0;0;0;0;0;0;0;1045623;0;151629;256253;315894;0;0;0;0;0;0;0;0;0;0;0;0
Charophyta;Zygnematophyceae;Desmidiales;Closteriaceae;Closterium;0;0;0;294582;0;0;0;0;0;0;0;0;0;0;0;0;3295741;0;0;0;2098858;0;0;0;655677;425508;1741199;281586;0;0
Bacillariophyta;Bacillariophyceae;Cocconeidales;Cocconeidaceae;Cocconeis;1566699;648735;409318;0;857250;0;0;0;0;0;0;0;244270;352270;0;0;0;0;0;0;0;0;0;0;0;0;0;481781;0;0
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Coelastrum;3128605;647743;503005;361305;0;0;0;0;0;84983;92057;0;0;0;0;1240746;0;1033955;697920;1318027;0;93194;292629;460433;0;782828;0;74007;283883;894067
Chlorophyta;Chlorophyceae;Sphaeropleales;Radiococcaceae;Coenococcus ;548964;838221;735044;286984;100126;153244;0;0;0;145388;0;0;0;0;0;424533;0;0;0;409977;0;0;175220;124375;393086;0;0;0;242833;0
Charophyta;Zygnematophyceae;Desmidiales;Desmidiaceae;Cosmarium;0;44524;112368;150721;151839;0;0;0;0;116487;110787;148624;0;0;0;455211;1594372;948357;284507;2799112;3218995;124913;0;283056;0;399722;0;0;1874743;0
Chlorophyta;Trebouxiophyceae;Trebouxiophyceae;Trebouxiophyceae;Crucigenia;754312;84430;426169;1519638;663208;543625;0;0;0;0;17332;0;0;0;0;105122;177656;109502;262804;0;0;39479;198343;82126;0;0;46929;0;0;0
Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;Cryptomonas ;5392739;968473;3726022;5582608;4686920;19684632;52892;10505343;3658924;6243513;6574455;4053940;164063;5077480;15845866;2756309;13446602;4062002;1017191;17524111;4672142;3327218;6606886;5794828;10183277;7460284;3854760;10332952;17341467;9588123
Bacillariophyta;Bacillariophyceae;Cymbellales;Cymbellaceae;Cymbella;259622;0;0;125283;497200;0;0;0;0;103137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillariophyta;Bacillariophyceae;Cymbellales;Cymbellaceae;Cymbopleura;0;0;997169;0;0;1549745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Denticula;0;182786;0;0;0;2330076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;266696;0;0;0;0;0;0
Bacillariophyta;Bacillariophyceae;Tabellariales;Tabellariaceae;Diatoma;894859;0;7715134;0;0;0;0;0;0;0;0;0;418563;0;0;0;0;0;0;0;0;0;0;0;0;0;926818;0;0;0
Ochrophyta;Chrysophyceae;Chromulinales;Dinobryaceae;Dinobryon;346910;646415;0;0;0;0;0;0;0;1470011;442330;1474572;0;0;0;1609662;453388;279455;3688808;1036316;894257;0;379637;2829484;11426611;1450842;598833;21335909;781223;394525
Bacillariophyta;Mediophyceae;Stephanodiscales;Stephanodiscaceae;Discostella;64717155;40498391;50977878;62615970;32755428;40204720;47035789;91685812;16325567;13240421;11696934;7453948;23989710;10913678;17533240;0;0;0;5161193;1449960;625599;704842;531169;0;2085331;2481043;1340570;3880776;5152935;1103999
Charophyta;Klebsormidiophyceae;Klebsormidiales;Elakatotrichaceae;Elakatothrix ;1015328;793826;454939;1656224;938987;1029819;289129;1933741;340865;2646719;2471266;2242288;1546345;759511;885933;11826823;4254729;2683479;1024601;3166310;878229;7805833;11544022;9262576;2493738;1231343;653445;6192930;5139165;1635918
Bacillariophyta;Bacillariophyceae;Cymbellales;Gomphonemataceae;Encyonema ;1232850;2041983;322096;594924;224859;1376604;0;0;0;0;0;0;0;0;0;0;402813;1735052;0;1608542;794503;179028;0;0;441391;286445;0;0;198308;140206
Bacillariophyta;Bacillariophyceae;Cymbellales;Gomphonemataceae;Encyonopsis;0;0;500861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillariophyta;Bacillariophyceae;Rhopalodiales ;Rhopalodiaceae ;Epithemia;0;540384;3409536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1187321
Bacillariophyta;Bacillariophyceae;Cocconeidales;Achnanthidiaceae;Eucocconeis;0;364199;459581;0;0;714255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Euglenophyta;Euglenophyceae;Euglenida;Euglenidae;Euglena;1421979;0;0;457460;778064;577377;0;0;0;0;0;194976;0;0;0;0;0;0;0;2123922;0;0;518709;0;2036415;1321552;490921;437278;914920;323431
Bacillariophyta;Bacillariophyceae;Eunotiales;Eunotiaceae;Eunotia;8268873;4584036;7712759;30865846;5384379;541183;0;0;0;0;1882064;0;0;0;0;0;0;5945252;0;0;0;2143461;0;224175;10569337;0;0;4539095;0;0
Bacillariophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Fragilaria ;223421;0;175114;431257;0;0;0;467195;0;887564;0;0;0;0;0;0;437995;0;0;0;0;0;0;0;0;311463;0;0;431257;152452
Bacillariophyta;Bacillariophyceae;Naviculales;Amphipleuraceae;Frustulia;5260148;1089055;0;0;959398;5339544;1255508;10999460;1393098;0;0;721250;0;0;2676215;20339237;3437331;12712023;0;7856757;0;0;0;0;7533051;4888649;5448010;1617568;0;2392851
Cyanophyta;Cyanophyceae;Oscillatoriales;Coleofasciculaceae;Geitlerinema;0;0;0;2324287;658871;0;0;0;0;0;0;0;0;0;0;0;0;0;3492018;0;0;1049157;2635485;0;7760041;3357304;2494299;0;0;0
Cyanophyta;Cyanophyceae;Chroococcales;Microcystaceae;Gloeocapsa;0;0;0;0;0;0;0;0;0;0;0;12533;0;0;0;0;0;73631;63113;39007;109395;0;242924;0;0;0;0;0;0;0
Cyanophyta;Cyanophyceae;Chroococcales;Aphanothecaceae;Gloeothece;344078;0;215746;390190;244750;110021;123189;0;0;375894;269812;343224;80470;226294;26259;678522;33727;478125;124728;231268;66522;457182;668356;179297;36957;0;0;79357;0;246522
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Golenkiniopsis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3154951;639824;1183107;0;0;0;0;0;0;0;0;0;0;0;0
Bacillariophyta;Bacillariophyceae;Cymbellales;Gomphonemataceae;Gomphonema ;69234418;23737922;44835484;11610901;45304680;7327267;163843249;210874208;40670418;0;0;2474363;0;4057573;0;0;11792321;76389813;17444262;53907754;23259016;0;0;10902664;38765027;0;0;29161137;5805450;0
Charophyta;Zygnematophyceae;Desmidiales;Gonatozygaceae;Gonatozygon;6740724;9528998;2611139;3290355;2798175;5191094;0;0;0;0;652052;0;0;0;20339402;0;0;0;0;15276648;0;0;0;0;0;2376367;0;3145192;1645177;1163163
Miozoa;Dinophyceae;Gonyaulacales;Gymnodiniaceae;Gymnodinium ;0;2191761;425503;6025398;445574;2479849;0;0;0;1509662;519155;0;253929;183100;0;0;0;0;13382076;3648921;1049575;2601546;3267544;983976;1166194;378407;562272;2754578;1309869;3889600
Chlorophyta;Chlorophyceae;Chlamydomonadales;Haematococcaceae;Haematococcus;3420021;0;3276237;0;0;0;1088402;0;0;0;4070007;4533078;0;0;0;353523815;317351540;386620755;73834463;61299291;105792663;17216776;19129176;24106401;349377004;216136761;161365297;10166467;0;5963802
Bacillariophyta;Bacillariophyceae;Licmophorales;Ulnariaceae;Hannaea;1570863;650459;2052028;0;286510;637829;0;0;0;0;0;0;0;0;0;0;0;0;1518500;0;2024667;456225;0;0;0;0;0;0;505357;0
Cyanophyta;Cyanophyceae;Nostocales;Hapalosiphonaceae  ;Hapalosiphon;253802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillariophyta;Bacillariophyceae;Naviculales;Naviculales incertaesedis;Kobayasiella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;772959;0;0;0;429422;0;0;0;0;0
Chlorophyta;Chlorophyceae;Sphaeropleales;Characiaceae;Korshikoviella;0;0;0;0;0;0;0;0;0;0;0;0;0;212896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Lagerheimia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29687372;14937471;13494260;674713;521264;0;709498;318261;474408;0;0;0;0;56136;0
Cyanophyta;Cyanophyceae;Oscillatoriales;Oscillatoriaceae ;Lyngbya ;0;0;0;435551;0;0;0;0;0;0;57542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145184;0
Bacillariophyta;Coscinodiscophyceae;Melosirales;Melosiraceae;Melosira;0;586650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillariophyta;Bacillariophyceae;Tabellariales;Tabellariaceae;Meridion;0;2376743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cyanophyta;Cyanophyceae;Synechococcales;Merismopediaceae;Merismopedia;0;95355;0;0;336011;2057080;0;0;0;121977;58725;0;0;32445;0;356171;300965;0;445214;1375839;593619;0;0;139129;0;0;0;0;0;0
Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae;Monoraphidium ;0;148115;42776;84921;40467;96464;12601;73598;0;0;0;7239;12764;0;0;0;0;85057;0;0;0;241544;0;15948;226819;49066;10036;81175;95994;93085
Charophyta;Zygnematophyceae;Zygnematales;Zygnemataceae;Mougeotia;3957729;491642;0;13750861;433110;7713536;0;0;0;2515598;5752816;325600;1480957;533934;3624447;23873023;12413972;1912902;22954830;21281095;6121288;2758660;25986600;3586692;6801431;11034642;6558523;40162850;5347557;2700568
Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;0;6357793;5630449;15026337;15329203;4375263;515027;14269714;2710922;6948363;5848148;1930410;1595946;0;12611290;2503033;21476827;36078323;9894865;21381672;1390574;8735738;61144287;29316013;37420187;20028982;7886208;6295462;3293011;7230006
Bacillariophyta;Bacillariophyceae;Naviculales;Neidiaceae;Neidium;0;0;0;0;0;0;0;10381017;0;0;0;0;0;0;0;0;0;5998646;0;0;0;0;0;0;0;0;0;0;0;0
Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Nephrocytium;0;37795;0;255822;95438;175531;32679;63622;0;265909;444479;81350;0;0;0;105880;267172;183820;0;340833;235289;92782;240819;226431;522865;339318;0;112274;117456;72663
Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;0;0;0;55552;0;1780721;0;0;0;15996;0;0;0;0;0;0;0;278204;0;0;0;0;0;9122;0;0;0;0;19430;0
Cyanophyta;Cyanophyceae;Nostocales;Nostocaceae;Nostoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;432089;0;0;0;0;0;0;0
Chlorophyta;Chlorophyceae;Oedogoniales;Oedogoniaceae;Oedogonium;3913182;0;0;1416259;0;0;1050762;4091415;0;2331828;0;402419;686385;3629481;1493188;0;0;0;0;0;0;0;2676469;2659741;0;0;0;0;0;0
Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Oocystis ;7455323;5433490;9230914;2456120;960982;3759301;2736356;6672588;811094;8056811;7481237;5857165;5086916;3926583;4446775;5560405;4197213;2639160;12569456;12963823;9020138;43188314;39236629;40850778;36998419;35322729;21504687;27998113;18471755;8902494
Cyanophyta;Cyanophyceae;Oscillatoriales;Oscillatoriaceae;Oscillatoria ;0;0;0;0;21438671;1909076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8739325;0;0;28738933;0
Miozoa;Dinophyceae;Peridiniales;Peridiniaceae;Parvodinium;1446450;0;4534817;4187995;0;1761939;3313746;12098651;0;486573699;141309613;14516607;1353131;1951395;15454180;13423059;0;3495588;276850601;97221302;83894122;43802163;39572699;35392833;15952331;16131535;7490547;30365840;55839927;81065415
Miozoa;Dinophyceae;Peridiniales;Peridiniaceae;Peridinium;12111540;0;0;70134536;0;7376610;17344921;0;9622867;295150668;188427197;9964104;0;0;0;149932250;189947703;175617329;140493863;108541544;0;31657950;106033104;153665162;26017382;16884240;50176380;234641280;257159967;123965173
Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia;3704585;0;5807187;3575369;16216297;2256301;0;7746633;0;2943369;1417067;0;0;0;0;0;7262469;8952747;0;0;0;0;0;3357280;0;5164422;0;0;3575369;0
Cryptophyta;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Plagioselmis ;7032463;3033320;1786274;21304175;14358560;12968475;14500637;55145763;20849416;7449915;9963101;5169516;12426539;17788956;40649145;24472972;13531136;13533151;944173;2042436;1510677;7318728;18099624;6786246;15386528;11619190;6878977;24208870;25766112;17950401
Chlorophyta;Chlorophyceae;Sphaeropleales;Schizochlamydaceae;Planktosphaeria ;1064494;132235;584033;4725876;757197;842838;457338;445191;84576;676610;81437;131363;547699;359025;0;493925;1252100;257253;308703;0;1234813;370993;116492;0;3430036;445191;220502;491020;821891;145272
Cyanophyta;Cyanophyceae;Oscillatoriales;Microcoleaceae;Planktothrix ;10888939;966186;3657675;4503914;15320826;0;0;3252827;0;8651486;1190059;1919631;0;0;2374280;0;0;0;0;6970343;6014843;1355345;1702314;4229186;86881062;0;1611119;2870141;0;4245771
Cyanophyta;Cyanophyceae;Synechococcales;Pseudanabaenaceae;Pseudanabaena ;37283;111153;0;43179;73440;0;0;0;0;0;0;0;48828;0;34143;51898;29236;36040;0;334122;230656;0;0;0;192213;0;38614;419618;165519;0
Ochrophyta;Goniochloridales;Goniochloridales;Goniochloridaceae;Pseudostaurastrum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93933;238121;0;587082;544276;626221;0;0;0;0;0;0;0;0;0
Bacillariophyta;Bacillariophyceae;Fragilariales;Staurosiraceae;Pseudostaurosira;10423875;0;2090016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223638;0;0
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Scenedesmus ;4194539;3286359;3363526;0;0;127687;0;210535;0;119990;77025;62123;0;0;0;233581;0;0;36378368;51100102;41947309;1396070;1349703;1528315;10524444;4017482;3180132;1373844;947406;1219432
Bacillariophyta;Bacillariophyceae;Naviculales;Sellaphoraceae;Sellaphora;223972;0;0;0;0;136412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;390289;0;0;481125;0;0;0;0;0
Cyanophyta;Cyanophyceae;Synechococcales;Coelosphaeriaceae;Snowella;162920;0;0;2515801;2228625;2546841;0;0;0;86296;0;44678;127008;256427;165778;12851146;9901052;9318131;314979;486688;0;2649744;0;49215;116659;0;0;0;0;0
Chlorophyta;Chlorophyceae;Chlamydomonadales;Sphaerocystidaceae;Sphaerocystis ;1532890;1264258;1343974;5523112;3597142;2574988;1341233;4275058;306249;5799051;4603545;5352252;1549471;1186636;841765;7811867;3688648;3770894;1495076;4301565;4043105;2144560;1268964;980190;1966713;419055;0;2285611;2158662;1254677
Cyanophyta;Cyanophyceae;Spirulinales;Spirulinaceae ;Spirulina;0;0;0;0;0;0;0;0;0;0;0;210509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charophyta;Zygnematophyceae;Desmidiales;Desmidiaceae;Staurastrum;0;0;0;192845;109332;2278555;0;0;0;0;683887;1051313;0;0;0;2119180;0;0;30513412;37793936;15688837;0;0;0;3286978;10787378;1584793;184337;1931794;0
Chlorophyta;Chlorophyceae;Sphaeropleales;Hydrodictyaceae;Stauridium;0;0;77210;0;0;0;0;0;0;0;0;0;0;0;0;438985;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charophyta;Zygnematophyceae;Desmidiales;Desmidiaceae;Staurodesmus;0;489500;0;0;0;479995;0;0;0;776633;1350731;610433;0;0;0;700679;0;825533;4570958;0;0;990081;728251;514905;1220515;2725354;1208551;359055;93907;66393
Bacillariophyta;Bacillariophyceae;Fragilariales;Staurosiraceae ;Staurosira ;264044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;788773;1020971;0;0;0;0;0;0;0;0;0
Bacillariophyta;Bacillariophyceae;Fragilariales;Staurosiraceae;Staurosirella ;0;0;0;0;0;0;0;0;0;650969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillariophyta;Bacillariophyceae;Surirellales ;Surirellaceae;Stenopterobia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2128887;0;0;0;0;0;0;0;0;0;0
Cyanophyta;Cyanophyceae;Synechococcales;Synechococcaceae;Synechococcus;0;0;0;25205;7145;5302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9350;0;0;0;0;0
Bacillariophyta;Bacillariophyceae;Tabellariales;Tabellariaceae;Tabellaria ;10724055;10478315;6304005;11643750;8317368;11707419;1919738;22425001;1687993;17040965;16892059;2528168;0;0;4092074;72585353;33072182;3239558;7774940;12013393;5183293;84093752;24938487;12148344;12007274;151824769;16791320;37730001;5175000;6178463
Chlorophyta;Chlorophyceae;Sphaeropleales;Hydrodictyaceae;Tetraëdron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268593;0;794654;4297490;1059539;477499;449804;620824;0;0;0;1263968;0;280466
Euglenophyta;Euglenophyceae;Euglenida;Euglenidae;Trachelomonas ;0;2521832;1193357;489817;5743748;3249496;0;0;0;0;0;0;0;0;0;0;994942;0;6390088;0;0;1919867;6048518;0;1090228;0;0;1404624;6857444;692615
Bacillariophyta;Bacillariophyceae;Licmophorales;Ulnariaceae;Ulnaria;2002780;2798910;1962183;18426928;4178821;5814322;0;0;0;1193437;1113384;785381;0;337742;0;1161612;2944687;37816661;73510531;109516054;63527173;4635834;1643791;3091557;24608611;698000;1037154;44034937;36853855;2605618
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Westella ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560951;0;0;0;0;0;0
Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Willea;0;0;0;0;0;0;981743;2525693;259364;0;0;0;0;0;0;0;0;0;0;0;0;227540;0;0;0;0;0;0;0;0
