"","Achnanthidium.affine","Achnanthidium.minutissimum","Aulacoseira.alpigena","Aulacoseira.distans.septentrionalis","Aulacoseira.sp.1.tiny..fine.striae","Brachysira.microcephala","Caloneis.sp..1.Luspa..alpestris..","Diatoma.tenuis","Discostella.stelligera","Encyonopsis.krammeroides","Encyonopsis.Atucyacu.1","Eucocconeis.flexella","Epithemia.turgida","Fragilaria.capucina","Fragilaria.tenera","Frustulia.crassinervia","Gomphonema.cf..netriviale","Gomphonema.variostriatum","Hannaea.arcus","Kobayasiella.pseudosubtilissima","Navicula.notha","Navicula.radiosa","Navicula.radiosa.var..parva","Nitzschia.Atucyacu.1","Nitzschia.cf.oberheimiana","Pseudostaurosira.brevistriata","Pseudostaurosira.laucensis","Pseudostaurosira.santaremensis","Staurosirella.pinnata","Staurosirella.sp.1","Staurosirella.sp.2","Tabellaria.fenestrata","Tabellaria.flocculosa","Ulnaria.delicatissima"
"CJ-001-F",0.229771693330359,0.565575615101567,0,0,0,0.124611196569807,0,0.222911285030141,0.618051436079354,0,0.0557278212575353,0,0,0.15762208124782,0.0788110406239101,0,0.096523417813168,0.0788110406239101,0,0,0.0557278212575353,0.096523417813168,0,0,0,0,0,0,0,0,0.0557278212575353,0,0.208514414057075,0.267261241912424
"CJ-003-F",0,0.200235710158407,0,0,0,0.0971285862357264,0,0.0485642931178632,0.912440228075966,0.0485642931178632,0,0,0,0,0,0,0,0,0,0,0.118957737857722,0.128489042187512,0,0,0.0971285862357264,0,0,0.118957737857722,0.128489042187512,0.0841158231138067,0.0485642931178632,0.0686802819743445,0.168231646227613,0
"CJ-020-F",0.0721687836487032,0.438985573035531,0.30190368221228,0,0,0.0883883476483184,0,0,0.544862367942584,0.0510310363079829,0,0,0,0,0,0,0,0,0,0,0,0.0510310363079829,0,0.144337567297406,0.11410886614691,0.0721687836487032,0.228217732293819,0.464914866758779,0.288675134594813,0.0883883476483184,0,0,0.0510310363079829,0
"CJ-023-F",0.115470053837925,0.14142135623731,0.208166599946613,0.115470053837925,0.152752523165195,0.0816496580927726,0,0,0.732575365861197,0,0.1,0.0577350269189626,0,0.129099444873581,0,0,0,0,0,0,0.0816496580927726,0.14142135623731,0,0.163299316185545,0,0,0,0,0.223606797749979,0.115470053837925,0.14142135623731,0.1,0.395811402901264,0.1
"CJ-032-F",0.102062072615966,0.144337567297406,0.35721725415588,0.447795526254264,0.0510310363079829,0,0,0,0.530330085889911,0.0510310363079829,0,0,0.0510310363079829,0,0,0,0,0,0,0,0.0510310363079829,0.0883883476483184,0,0.13501543121683,0.0510310363079829,0.0721687836487032,0.360843918243516,0.222439130250652,0.314576434802948,0.183995018048497,0,0,0,0.0510310363079829
"CJ-039-F",0,0.369274472937998,0.543557306504609,0.282038037408883,0,0,0,0,0,0.184637236468999,0,0,0.21320071635561,0,0.150755672288882,0,0,0.150755672288882,0,0,0.150755672288882,0.301511344577764,0,0.184637236468999,0.238365647311398,0,0,0,0,0,0,0.150755672288882,0.369274472937998,0
"CJ-043-F",0,0.32356319443692,0,0,0.147175574806061,0.158967789576202,0,0.060084176812611,0.597830010974408,0.104068846970394,0,0,0.134352303725115,0,0.51686363234458,0.0849718577324175,0.060084176812611,0.060084176812611,0,0,0.199276670324803,0.240336707250444,0,0,0.120168353625222,0,0,0.147175574806061,0,0,0.060084176812611,0,0.134352303725115,0.147175574806061
"CJ-051-F",0,0.140642169281549,0.21989008243131,0.328165061656947,0,0.104828483672192,0,0,0.818736630626522,0.0937614461876991,0.0468807230938495,0.0468807230938495,0.081199794294115,0.0662993544131796,0.0662993544131796,0,0,0,0,0.0468807230938495,0.104828483672192,0.0937614461876991,0,0.0662993544131796,0.0662993544131796,0.0662993544131796,0.187522892375398,0.0662993544131796,0.0662993544131796,0.0937614461876991,0,0,0.14824986333222,0.0662993544131796
"CJ-097-F",0.115278083540847,0.299501246537875,0.390927001198153,0,0,0.207820520571873,0,0,0.115278083540847,0.115278083540847,0.0815139145939222,0,0,0.0815139145939222,0.0576390417704235,0.230556167081694,0,0.0576390417704235,0,0,0.320920602677035,0.304997140665209,0,0.435165222374352,0.355310916207312,0,0,0,0,0,0,0.230556167081694,0.191167074828117,0
"CJ-121-F",0.236939551103637,0.477566932940919,0.167541563316678,0,0.118469775551818,0.132453235706504,0.0592348877759092,0.0837707816583391,0.30203984865484,0.0592348877759092,0,0,0.0592348877759092,0.118469775551818,0.118469775551818,0,0.0592348877759092,0.102597835208515,0,0,0.213574425172396,0.213574425172396,0,0,0.132453235706504,0.118469775551818,0.30203984865484,0,0.156720781993876,0,0.284080542075597,0.102597835208515,0.369921755595907,0.196459897251501
"CJ-001-J",0.157329193881888,0.521801904675301,0,0,0,0.192688123327015,0,0.179382880514787,0.692963216774152,0.0861727484432139,0,0,0,0.0703597544730292,0.0703597544730292,0,0.0703597544730292,0,0,0,0,0.111248539872496,0.0703597544730292,0,0,0,0,0,0.0861727484432139,0,0.0703597544730292,0,0.199007438041998,0.248759297552497
"CJ-003-J",0.0501254707117085,0.235109297794766,0.0708881205008336,0.122781826360509,0.0501254707117085,0.0501254707117085,0,0.0708881205008336,0.869644414134407,0.0501254707117085,0,0,0,0.0708881205008336,0,0,0,0,0,0,0,0.141776241001667,0,0,0.0708881205008336,0,0.112083959915555,0.17363972405197,0,0.166247378790686,0.100250941423417,0.0501254707117085,0.194135113287255,0.0501254707117085
"CJ-020-J",0.0999167706888681,0.637173458831216,0.191326049553992,0,0,0.14130365221672,0,0,0.49118688812734,0.0576869744537761,0,0,0,0,0,0,0,0,0,0,0.0407908508224002,0.0407908508224002,0,0.152625388292428,0.157982285912787,0.0815817016448004,0.315964571825574,0.276657010569955,0.207993344319471,0.0706518261083599,0,0,0,0
"CJ-023-J",0.0996683241277643,0.207476161560537,0.878363921622437,0.115087067529687,0,0.0575435337648436,0,0,0.207476161560537,0,0.0996683241277643,0,0,0.081378845877116,0,0,0.0575435337648436,0,0,0,0.0575435337648436,0.152245879901624,0,0,0,0,0.0575435337648436,0,0.115087067529687,0,0,0.0575435337648436,0.215308188172303,0.0575435337648436
"CJ-032-J",0,0.219140591561802,0.390566732942472,0.441492077207834,0,0,0,0,0.327634907737807,0.150329205600566,0,0,0,0,0,0,0,0,0,0,0.176276618777658,0.150329205600566,0,0.212597601381094,0.0751646028002829,0,0.495744603464734,0.260377821961648,0.231672865014832,0,0,0,0,0.0531494003452734
"CJ-039-J",0.133630620956212,0.377964473009227,0.327326835353989,0.38959686123699,0,0,0.0944911182523068,0,0.25,0.163663417676994,0,0,0.0944911182523068,0.133630620956212,0,0,0.133630620956212,0,0,0,0.267261241912424,0.267261241912424,0.0944911182523068,0.411877235523957,0,0,0.163663417676994,0,0.133630620956212,0,0,0,0.267261241912424,0
"CJ-043-J",0,0.309369634833633,0.18166810487819,0,0,0.190535115826549,0.151994441447782,0.140719508946058,0.597022314125993,0.0995037190209989,0,0.114896997924285,0,0,0.314658387763776,0,0.128458748884677,0.0574484989621426,0.0574484989621426,0,0.18166810487819,0.236866229254101,0,0,0.140719508946058,0,0.162488892740478,0.199007438041998,0,0.0812444463702388,0,0,0.269457344910234,0.190535115826549
"CJ-051-J",0.0794301470789538,0.263439994903634,0.269360734048819,0.125590089825832,0,0.112331191260346,0,0,0.796284748460571,0.137577050393417,0,0,0.0794301470789538,0.056165595630173,0.056165595630173,0,0.056165595630173,0,0.056165595630173,0,0,0.137577050393417,0.056165595630173,0.0794301470789538,0.056165595630173,0,0.257383093427549,0.0972816652688282,0.0794301470789538,0,0,0,0.168496786890519,0.0972816652688282
"CJ-097-J",0.101015254455221,0.303045763365663,0.470200420431702,0,0,0.142857142857143,0,0,0.101015254455221,0.130410132739325,0.101015254455221,0,0,0,0,0.184427778390829,0.101015254455221,0,0,0.101015254455221,0.359515925489083,0.27969857439216,0.142857142857143,0.382437581052596,0.285714285714286,0,0,0,0,0,0,0.273550602216097,0.184427778390829,0
"CJ-121-J",0.184114923579665,0.567480306535024,0.116444501947916,0,0.0582222509739582,0.116444501947916,0,0.116444501947916,0.174666752921875,0.154041596847482,0,0,0,0.184114923579665,0,0,0.0582222509739582,0.0823386969592618,0.0823386969592618,0,0.201687793635844,0.142614806562459,0.0823386969592618,0,0.116444501947916,0,0.329354787837047,0,0.193101360930524,0,0.260377821961648,0.142614806562459,0.386202721861047,0.174666752921875
"CJ-001-A",0.193649167310371,0.526782687642637,0,0,0,0.173205080756888,0,0.269258240356725,0.66332495807108,0.0866025403784439,0.05,0.111803398874989,0,0.0707106781186548,0,0,0.05,0,0,0,0.05,0.1,0,0,0,0,0,0,0.0707106781186548,0,0.0707106781186548,0.05,0.13228756555323,0.264575131106459
"CJ-003-S",0.0879598994267085,0.24486999669307,0.0439799497133542,0,0,0.0879598994267085,0,0,0.859580213321283,0.0879598994267085,0,0,0.0621970413571123,0.0439799497133542,0,0,0,0.0439799497133542,0,0,0.0761755074178538,0.116360009614662,0,0.0879598994267085,0.0621970413571123,0.0761755074178538,0.0879598994267085,0.170333612806861,0.201541448621797,0.139076812473869,0.131939849140063,0.0439799497133542,0.107728435710981,0.0621970413571123
"CJ-020-S",0.0463738895760168,0.353173021047332,0.245387558289822,0,0,0,0,0,0.466051822306564,0,0,0,0,0,0,0,0.0655825835783953,0,0,0,0.13912166872805,0.0803219328902499,0,0.217512822511661,0.296937776328228,0,0.370991116608135,0.490775116579644,0.222401361487285,0,0,0,0,0.0463738895760168
"CJ-023-S",0.150755672288882,0.369274472937998,0.322329185610152,0,0.056980288229819,0.161164592805076,0,0,0.296078262731896,0,0.241746889207614,0,0,0.080582296402538,0,0,0.113960576459638,0,0,0.127411797859406,0.341881729378914,0.20544535090333,0,0.139572631559771,0,0,0,0,0.437673898648802,0.080582296402538,0.180187492539112,0.113960576459638,0.306848242875602,0.0986927542439653
"CJ-032-S",0,0.176090181265125,0.252890269429437,0.398641102600034,0,0,0,0,0.403473292392964,0,0,0.0440225453162812,0,0,0.0880450906325624,0,0,0,0,0,0.107832773203438,0.0762492851663023,0,0.27137319479402,0.107832773203438,0,0.507692759436745,0.381246425831512,0.237068661757721,0,0.0984374038697697,0,0,0.0440225453162812
"CJ-039-S",0.0826192384772028,0.303562465809698,0.717884643779726,0.267716930635336,0,0,0,0,0.175261871351096,0.143100718725165,0,0,0.101187488603233,0.116841247567397,0.0584206237836986,0,0,0,0,0,0.193759289109041,0.154566441968932,0.0584206237836986,0.184742233484292,0.154566441968932,0,0.254649595291751,0,0.143100718725165,0,0,0.0584206237836986,0.154566441968932,0
"CJ-043-S",0,0.394882518465721,0.142614806562459,0.100843896817922,0,0.174666752921875,0.130188910980824,0.116444501947916,0.536782631258072,0.130188910980824,0,0.209923311259539,0,0.0823386969592618,0.247016090877785,0,0.0823386969592618,0,0.130188910980824,0,0.193101360930524,0.201687793635844,0,0.0823386969592618,0.0823386969592618,0.0823386969592618,0.0582222509739582,0.291111254869791,0.201687793635844,0.0823386969592618,0,0,0.225493808400849,0.164677393918524
"CJ-051-S",0.158860294157908,0.269360734048819,0.42030483154439,0.0972816652688282,0,0.125590089825832,0,0,0.669290315792691,0.0794301470789538,0.112331191260346,0,0,0.112331191260346,0,0,0.158860294157908,0,0,0,0.0972816652688282,0.0561655956301731,0.148600198275254,0.112331191260346,0.0794301470789538,0,0,0,0.263439994903634,0.0794301470789538,0.168496786890519,0,0.186280206832109,0.0561655956301731
"CJ-097-S",0.0988533609478405,0.382857420667617,0.351821690105463,0,0,0.151001003081424,0,0,0.0988533609478405,0.171219043660605,0.0807134312271262,0.057073014553535,0,0,0.11414602910707,0.213547666489691,0.11414602910707,0.0807134312271262,0,0.171219043660605,0.369875408197918,0.205779680418073,0.127619140222539,0.403567156135631,0.267696166922532,0,0,0,0.11414602910707,0,0,0.267696166922532,0.161426862454252,0
"CJ-121-S",0.165395353925991,0.441054277135977,0.077968117558545,0,0.077968117558545,0.0954910521118846,0,0.0551317846419971,0.190982104223769,0.145864991497895,0,0,0,0.077968117558545,0.135044740981903,0,0.0551317846419971,0.077968117558545,0.0551317846419971,0.0954910521118846,0.220527138567989,0.190982104223769,0.0954910521118846,0,0,0,0.50828993951679,0.110263569283994,0.220527138567989,0.15593623511709,0.198780476434559,0.123278418180384,0.3530156664941,0.182851443680183
"CJ-001-D",0.116721798313918,0.463959971965073,0,0,0,0.188208244570345,0,0.215224361738068,0.772483168251327,0,0.0521995750971881,0.0521995750971881,0,0,0,0,0,0,0,0,0,0.104399150194376,0,0,0,0,0,0,0,0,0,0,0.202168085030513,0.188208244570345
"CJ-003-D",0.0566138517072298,0.126592420885458,0.0400320384512718,0,0.0566138517072298,0,0,0,0.958263654100076,0.0400320384512718,0,0,0,0,0,0,0,0,0.0400320384512718,0,0.0400320384512718,0.0566138517072298,0,0.0800640769025436,0,0,0.0566138517072298,0,0.11322770341446,0.11322770341446,0,0.098058067569092,0.0693375245281536,0
"CJ-023-D",0.0785674201318386,0.248451997499977,0.652630006915041,0.0785674201318386,0,0.146986183948033,0,0,0.447903208238808,0,0.124225998749988,0,0,0.0785674201318386,0.111111111111111,0,0.0555555555555556,0,0.0555555555555556,0,0.184256932797522,0.166666666666667,0,0.0962250448649376,0,0,0.0555555555555556,0.0555555555555556,0.136082763487954,0.0962250448649376,0.136082763487954,0.111111111111111,0.314269680527354,0.0555555555555556
"CJ-097-D",0.105021006302101,0.257247877713763,0.5,0,0,0.121267812518166,0,0,0.242535625036333,0.218618658048802,0,0,0.0606339062590832,0,0.0606339062590832,0.160422236979937,0.13558153613666,0.0606339062590832,0,0.105021006302101,0.303169531295416,0.242535625036333,0,0.388246434777767,0.309173471200421,0,0,0,0,0.0606339062590832,0,0.218618658048802,0.191741247211843,0
"CJ-020-D",0.211153942092367,0.667727393935178,0.130327042490215,0,0,0.15282200350682,0,0,0.577350269189626,0.0460775677584091,0,0,0,0,0.0651635212451075,0,0,0,0.0460775677584091,0,0,0.103032573745655,0,0.130327042490215,0.172406471767828,0,0.195490563735322,0.145710063157312,0.0798086884467622,0,0,0,0.0651635212451075,0
"CJ-051-D",0.0827605888602368,0.286691089540498,0.304081820279769,0.101360606759923,0,0.194090785141161,0,0,0.765255799296003,0.117041147196131,0.0585205735980653,0,0.0827605888602368,0,0,0,0.0585205735980653,0.0585205735980653,0,0.0585205735980653,0.101360606759923,0.117041147196131,0.0827605888602368,0.0585205735980653,0.101360606759923,0,0.101360606759923,0.0827605888602368,0.210998928777389,0,0.0827605888602368,0,0.185058302549401,0.0585205735980653
"CJ-043-D",0.079555728417573,0.275589127304775,0,0,0,0.112508790092602,0.0974354703692446,0.225017580185205,0.57643601640829,0.112508790092602,0,0.125788651356657,0.079555728417573,0,0.590001072730198,0,0.0562543950463012,0.0562543950463012,0.148835139446897,0,0.125788651356657,0.112508790092602,0,0,0.079555728417573,0,0,0.186574721177009,0,0.0974354703692446,0.0562543950463012,0,0.112508790092602,0.079555728417573
"CJ-032-D",0.0560772154092044,0.445099098569262,0.371974165600534,0.392540507864431,0,0,0,0,0.452108964435865,0.12539246564388,0,0,0,0.0560772154092044,0,0,0,0,0,0,0.0793051585718144,0.148366366189754,0,0.112154430818409,0.112154430818409,0,0.434372242763069,0.0793051585718144,0.158610317143629,0.0560772154092044,0.0793051585718144,0,0,0
"CJ-039-D",0,0.381788831508213,0.653543146293951,0.193101360930524,0.116444501947916,0.100843896817922,0.0582222509739582,0,0.217847715431317,0.174666752921875,0,0,0,0.0582222509739582,0.0823386969592618,0.0582222509739582,0.0582222509739582,0.0582222509739582,0,0,0.209923311259539,0.174666752921875,0.0582222509739582,0.142614806562459,0.184114923579665,0,0.0823386969592618,0,0.193101360930524,0,0,0.116444501947916,0.26680787221888,0.0582222509739582
"CJ-121-D",0.144986278733613,0.477732381389652,0.0949157995752499,0,0,0.173291748303345,0.0547996624351191,0.122535770348968,0.398947564423145,0.0949157995752499,0,0,0,0.0949157995752499,0.0547996624351191,0,0.0774984258292128,0.0949157995752499,0.0547996624351191,0,0.109599324870238,0.181749918935424,0,0.0547996624351191,0.0949157995752499,0.212238179989004,0.402693633128415,0.134231211042805,0.26280994857324,0.109599324870238,0.26846242208561,0,0.205041561743082,0.134231211042805
