"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Achnanthidium.affine.Fe+Zmax_m","Fe+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.733389918142,236.933305005167,0.52105,NA,13,5,0,0,0.177,0.161,0,0,0,0,1,0,0,0,0,1,0,0,0
"Achnanthidium.affine.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.315542540367,238.464645107049,0.54364,NA,17,7,1.582,1.531,0.08,0.075,0,0,0,0,1,0,0,1,0,1,0,0,0
"Achnanthidium.affine.Fe+wetland+Zmax_m","Fe+wetland+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.515919619635,238.665022186317,0.57091,NA,17,8,1.783,1.732,0.072,0.068,0,0,0,0,1,0,0,0,0,1,0,1,0
"Achnanthidium.minutissimum.Fe+wetland+Zmax_m","Fe+wetland+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",379.960214996116,389.109317562798,0.5795,NA,17.17,7,0,0,0.103,0.103,0,0,0,0,1,0,0,0,0,1,0,1,0
"Achnanthidium.minutissimum.Ca+Fe+wetland","Ca+Fe+wetland","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",380.136726186409,389.285828753091,0.41321,NA,17,6,0.177,0.177,0.095,0.094,1,0,0,0,1,0,0,0,0,0,0,1,0
"Achnanthidium.minutissimum.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",381.289787360111,390.438889926793,0.36263,NA,17,6,1.33,1.33,0.053,0.053,0,0,0,0,1,0,0,1,0,1,0,0,0
"Achnanthidium.minutissimum.Mg+wetland+Zmax_m","Mg+wetland+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",381.299843672933,390.448946239614,0.57099,NA,17.21,7,1.34,1.34,0.053,0.053,0,1,0,0,0,0,0,0,0,1,0,1,0
"Achnanthidium.minutissimum.wetland+Zmax_m","wetland+Zmax_m","s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",381.54213203854,390.742047125566,0.57665,NA,13.17,5,1.582,1.633,0.047,0.046,0,0,0,0,0,0,0,0,0,1,0,1,0
"Achnanthidium.minutissimum.Ca+wetland","Ca+wetland","s(Ca, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",381.775651291225,390.975566378251,0.41472,NA,13,4,1.815,1.866,0.042,0.041,1,0,0,0,0,0,0,0,0,0,0,1,0
"Achnanthidium.minutissimum.K+mix_event+Zmax_m","K+mix_event+Zmax_m","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",381.934518779012,391.083621345694,0.35258,NA,17,6,1.974,1.974,0.038,0.038,0,0,1,0,0,0,0,1,0,1,0,0,0
"Aulacoseira.alpigena.Ca+Fe+waterT","Ca+Fe+waterT","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.360265137248,404.50936770393,0.35569,NA,17,8,0,0,0.117,0.117,1,0,0,0,1,1,0,0,0,0,0,0,0
"Aulacoseira.alpigena.Ca+Fe+secchi_m","Ca+Fe+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.854953417432,405.004055984113,0.32216,NA,17,9,0.495,0.495,0.092,0.092,1,0,0,0,1,0,0,0,1,0,0,0,0
"Aulacoseira.alpigena.Ca+Fe+wetland","Ca+Fe+wetland","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.916772349672,405.065874916353,0.32736,NA,17,9,0.557,0.557,0.089,0.089,1,0,0,0,1,0,0,0,0,0,0,1,0
"Aulacoseira.alpigena.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.221199694699,405.370302261381,0.20346,NA,17,5,0.861,0.861,0.076,0.076,0,0,0,0,1,0,0,1,0,1,0,0,0
"Aulacoseira.alpigena.K+mix_event+Zmax_m","K+mix_event+Zmax_m","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.689620054399,405.83872262108,0.216,NA,17,5,1.329,1.329,0.06,0.06,0,0,1,0,0,0,0,1,0,1,0,0,0
"Aulacoseira.alpigena.Fe+secchi_m+Zmax_m","Fe+secchi_m+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",397.212720792933,406.361823359615,0.25164,NA,17,7,1.852,1.852,0.046,0.046,0,0,0,0,1,0,0,0,1,1,0,0,0
"Aulacoseira.distans.septentrionalis.bare_rock+Mg+Zmax_m","bare_rock+Mg+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",300.619566973389,309.76866954007,0.25463,NA,17,3,0,0,0.256,0.259,0,1,0,0,0,0,0,0,0,1,0,0,1
"Aulacoseira.distans.septentrionalis.bare_rock+Zmax_m","bare_rock+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",300.736617296891,309.936532383916,0.25398,NA,13,1,0.117,0.168,0.242,0.238,0,0,0,0,0,0,0,0,0,1,0,0,1
"Aulacoseira.distans.septentrionalis.Mg+mix_event+Zmax_m","Mg+mix_event+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",301.566635287706,310.715737854388,0.07912,NA,17.06,5,0.947,0.947,0.16,0.161,0,1,0,0,0,0,0,1,0,1,0,0,0
"Aulacoseira.distans.septentrionalis.mix_event+Zmax_m","mix_event+Zmax_m","s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",301.839997018798,311.039912105823,0.08204,NA,13.06,3,1.22,1.271,0.139,0.137,0,0,0,0,0,0,0,1,0,1,0,0,0
"Diatoma.tenuis.Fe+K+secchi_m","Fe+K+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",217.155280016836,226.304382583517,0.6614,NA,17.02,4,0,0,0.354,0.339,0,0,1,0,1,0,0,0,1,0,0,0,0
"Diatoma.tenuis.Fe+K+Zmax_m","Fe+K+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",218.739436913689,227.88853948037,0.42845,NA,17.03,3,1.584,1.584,0.161,0.154,0,0,1,0,1,0,0,0,0,1,0,0,0
"Discostella.stelligera.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",423.109744904136,432.258847470817,0.52412,NA,17.06,4,0,0,0.231,0.231,0,0,0,0,1,0,0,1,0,1,0,0,0
"Discostella.stelligera.K+mix_event+Zmax_m","K+mix_event+Zmax_m","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",423.591665020266,432.740767586947,0.51032,NA,17,3,0.482,0.482,0.182,0.182,0,0,1,0,0,0,0,1,0,1,0,0,0
"Discostella.stelligera.Fe+K+mix_event","Fe+K+mix_event","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",423.85539461532,433.004497182002,0.49625,NA,17.29,2,0.746,0.746,0.159,0.159,0,0,1,0,1,0,0,1,0,0,0,0,0
"Discostella.stelligera.Mg+mix_event+Zmax_m","Mg+mix_event+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",424.821011788731,433.970114355413,0.51945,NA,17,4,1.711,1.711,0.098,0.098,0,1,0,0,0,0,0,1,0,1,0,0,0
"Fragilaria.tenera.Mg+wetland+Zmax_m","Mg+wetland+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",330.565554662529,339.714657229211,0.0679,NA,17.31,7,0,0,0.249,0.25,0,1,0,0,0,0,0,0,0,1,0,1,0
"Fragilaria.tenera.bare_rock+Mg+Zmax_m","bare_rock+Mg+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",331.147769512565,340.296872079246,0.07175,NA,17,4,0.582,0.582,0.186,0.187,0,1,0,0,0,0,0,0,0,1,0,0,1
"Fragilaria.tenera.wetland+Zmax_m","wetland+Zmax_m","s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",332.25906177653,341.458976863556,0.02302,NA,13.45,5,1.694,1.744,0.107,0.105,0,0,0,0,0,0,0,0,0,1,0,1,0
"Fragilaria.tenera.Fe+wetland+Zmax_m","Fe+wetland+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",332.41704371337,341.566146280052,0.02306,NA,17.39,7,1.851,1.851,0.099,0.099,0,0,0,0,1,0,0,0,0,1,0,1,0
"Navicula.notha.K+mix_event","K+mix_event","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",263.395270248466,272.595185335492,0.3132,NA,13,2,0,0,0.372,0.363,0,0,1,0,0,0,0,1,0,0,0,0,0
"Navicula.notha.K+mix_event+Zmax_m","K+mix_event+Zmax_m","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",263.998678883658,273.14778145034,0.32819,NA,17,4,0.603,0.553,0.275,0.276,0,0,1,0,0,0,0,1,0,1,0,0,0
"Navicula.notha.Fe+K+mix_event","Fe+K+mix_event","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",265.218755204771,274.367857771452,0.30769,NA,17.23,5,1.823,1.773,0.149,0.15,0,0,1,0,1,0,0,1,0,0,0,0,0
"Navicula.radiosa.bare_rock+Zmax_m","bare_rock+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",231.762323514516,240.962238601541,0.16493,NA,13,3,0,0,0.137,0.121,0,0,0,0,0,0,0,0,0,1,0,0,1
"Navicula.radiosa.wetland+Zmax_m","wetland+Zmax_m","s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",232.022027037943,241.221942124968,0.40765,NA,13,4,0.26,0.26,0.121,0.106,0,0,0,0,0,0,0,0,0,1,0,1,0
"Navicula.radiosa.bare_rock","bare_rock","s(bare_rock, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",232.756257608833,241.078413787631,0.12076,NA,9,2,0.994,0.116,0.084,0.114,0,0,0,0,0,0,0,0,0,0,0,0,1
"Navicula.radiosa.Fe+wetland+Zmax_m","Fe+wetland+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",232.875982417934,242.025084984616,0.42006,NA,17,6,1.114,1.063,0.079,0.071,0,0,0,0,1,0,0,0,0,1,0,1,0
"Navicula.radiosa.mix_event","mix_event","s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",233.717775006013,242.039931184811,0.19032,NA,9,2,1.955,1.078,0.052,0.071,0,0,0,0,0,0,0,1,0,0,0,0,0
"Navicula.radiosa.K+mix_event","K+mix_event","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",233.756052308902,242.955967395927,0.18981,NA,13,2,1.994,1.994,0.051,0.045,0,0,1,0,0,0,0,1,0,0,0,0,0
"Nitzschia.Atucyacu.1.lake_catch_ratio","lake_catch_ratio","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",264.169640662015,272.491796840813,0.83649,NA,9,5,0,0,0.473,0.567,0,0,0,0,0,0,1,0,0,0,0,0,0
"Nitzschia.Atucyacu.1.lake_catch_ratio+Mg","lake_catch_ratio+Mg","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",264.984875533434,274.184790620459,0.84044,NA,13,4,0.815,1.693,0.315,0.243,0,1,0,0,0,0,1,0,0,0,0,0,0
